Fire	CO_ppb
burn18	9373
burn45	9212
burn64	22825
burn10	7947
burn11	14439
burn14	6469
burn57	12640
burn22	12470
burn43	2755
burn31	15741
burn17	7097
burn25	5721
burn44	11508
burn08	7485
burn09	4635
burn52	12238
burn54	11255
burn12	17552
burn26	3370
burn36	5068
burn20	23426
burn40	14271
burn05	10277
burn07	11527
burn42	11837
burn58	7608
burn63	14480
burn21	3567
burn41	3924
burn28	22827
burn30	36047
burn33	22531
burn34	21486
burn19	6847
burn39	9292
burn03	8635
burn04	15412
burn37	20179
burn59	9298
burn72	15176
burn16	17931
burn38	4674
burn13	22719
burn73	3575
burn15	12634
burn23	16441
burn67	12477
burn47	11292
burn56	6844
burn51	2331
